Player,Team,Lg,SN,Pos,GP,GS,Inn,E,PO,A,DP,GoodPlays,PoorPlays,FPct,RF,SB,CS,CERA,PB,PK
"Ely, Bones",BRO,AA,1886,P,7,0,8.0,0,0,0,0,0,0,.000,.00,5,0,0,0,0
"Traffley, Bill",BRO,AA,1886,C,3,0,6.0,0,1,0,0,0,0,1.000,1.50,0,0,0,0,0
"Smith, Phenomenal",BRO,AA,1886,P,6,0,4.7,0,0,0,0,0,0,.000,.00,0,1,0,0,0
"Collins, Hub",BRO,AA,1886,CF,2,0,4.0,0,2,0,0,0,0,1.000,4.50,0,0,0,0,0
"Collins, Hub",BRO,AA,1886,2B,1,0,3.0,1,1,0,0,0,0,.500,3.00,0,0,0,0,0
"Shoch, George",BRO,AA,1886,RF,1,0,3.0,0,1,0,0,0,0,1.000,3.00,0,0,0,0,0
"Collins, Hub",BRO,AA,1886,1B,1,0,2.0,0,3,0,0,0,0,1.000,13.50,0,0,0,0,0
"Collins, Hub",BRO,AA,1886,LF,1,0,1.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Shoch, George",BRO,AA,1886,CF,1,0,1.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Williamson, Ned",CHC,NL,1886,SS,21,20,180.3,15,46,64,14,1,0,.880,5.49,0,0,0,0,0
"Anson, Cap",CHC,NL,1886,1B,21,20,176.3,6,193,29,17,0,0,.974,11.33,0,0,0,0,0
"McClellan, Bill",CHC,NL,1886,2B,21,19,173.3,5,65,55,12,0,0,.960,6.23,0,0,0,0,0
"Kelly, King",CHC,NL,1886,C,20,18,162.3,3,61,13,0,0,0,.961,4.10,10,6,2.05,4,0
"Burns, Tom",CHC,NL,1886,3B,19,18,160.0,3,25,42,4,0,0,.957,3.77,0,0,0,0,0
"Jones, Charley",CHC,NL,1886,RF,20,20,147.0,2,28,1,1,4,0,.935,1.78,0,0,0,0,0
"Ryan, Jimmy",CHC,NL,1886,CF,13,13,96.0,4,26,0,0,0,0,.867,2.44,0,0,0,0,0
"Clarkson, John",CHC,NL,1886,P,10,0,82.7,2,7,5,1,0,0,.857,1.31,4,3,0,0,0
"Lewis, Fred",CHC,NL,1886,LF,9,8,60.0,2,14,0,0,0,0,.875,2.10,0,0,0,0,0
"Hornung, Joe",CHC,NL,1886,LF,6,6,54.0,0,12,0,0,0,0,1.000,2.00,0,0,0,0,0
"Flynn, Jocko",CHC,NL,1886,P,6,0,44.7,1,4,1,0,2,0,.833,1.01,4,3,0,0,0
"Lynch, Jack",CHC,NL,1886,P,5,0,34.3,1,3,1,0,0,0,.800,1.05,4,2,0,0,0
